customer_id,first_name,last_name,gender,age,DOB,address,postcode,country,state,job_title,job_industry_category,past_3_years_bike_related_purchases,property_valuation,wealth_segment,tenure,deceased_indicator,owns_car,frequency,monetary,recency,% approved,clusters
47,Matthew,Jeaycock,0,25,1992-10-22,543 Killdeer Park,2322,Australia,NSW,Registered Nurse,Health,51,4,Affluent Customer,2,0,0,7,4332.1900000000005,36.0,100.0,3
48,Rebbecca,Casone,1,42,1975-08-15,22125 Ramsey Drive,3198,Australia,VIC,Biostatistician II,,46,9,Mass Customer,8,0,1,8,5561.079999999999,83.0,100.0,3
49,Nolly,Ownsworth,0,23,1994-01-26,3107 Calypso Terrace,2210,Australia,NSW,VP Quality Control,,63,9,Affluent Customer,1,0,0,4,2636.43,37.0,100.0,3
50,Whitby,Schapero,0,37,1980-10-01,957 Veith Junction,2047,Australia,NSW,Account Executive,Manufacturing,38,10,Mass Customer,16,0,1,7,4153.41,27.0,100.0,3
51,Fidelio,Dilke,0,58,1959-12-05,4853 Gulseth Avenue,4503,Australia,QLD,Computer Systems Analyst II,Retail,68,5,Mass Customer,18,0,0,8,4855.400000000001,56.0,100.0,3
52,Curran,Bentson,0,29,1988-06-22,9 Michigan Terrace,2145,Australia,NSW,,Financial Services,57,8,Mass Customer,13,0,1,6,5417.829999999999,5.0,100.0,3
53,Agnella,Gocke,1,63,1954-04-18,62 Steensland Road,4350,Australia,QLD,Software Test Engineer II,Financial Services,22,3,Mass Customer,16,0,0,5,2950.07,8.0,100.0,3
54,Loralyn,Wonfor,1,51,1966-07-24,6 Homewood Avenue,2142,Australia,NSW,Sales Associate,Property,2,8,Mass Customer,18,0,1,7,4098.21,68.0,100.0,3
55,Linc,Jillions,0,61,1956-09-24,15 Almo Lane,2029,Australia,NSW,Paralegal,Financial Services,48,10,Affluent Customer,7,0,1,8,3220.86,47.0,100.0,3
56,Reese,Ensor,0,21,1996-07-04,690 Glacier Hill Circle,2127,Australia,NSW,VP Sales,Property,44,10,Mass Customer,4,0,1,7,1275.239999999999,3.0,100.0,3
57,Abba,Masedon,0,29,1988-06-13,89787 Village Green Terrace,4280,Australia,QLD,Chief Design Engineer,,87,6,Mass Customer,13,0,1,6,5117.96,36.0,100.0,3
58,Dalenna,Pinnock,1,50,1967-07-04,18 Elgar Park,2166,Australia,NSW,Office Assistant III,Financial Services,26,9,Affluent Customer,17,0,1,8,3501.3699999999994,21.0,100.0,3
59,Niki,Heathcote,0,17,2000-02-08,413 Mayer Street,2046,Australia,NSW,Physical Therapy Assistant,,60,9,High Net Worth,3,0,0,3,2628.37,23.0,100.0,3
60,Nadiya,Champerlen,1,47,1970-02-04,39 3rd Drive,2026,Australia,NSW,,Manufacturing,18,10,Mass Customer,10,0,0,2,647.22,201.0,100.0,1
61,Kacey,Rowbottom,1,58,1959-11-29,44516 Katie Parkway,2765,Australia,NSW,Help Desk Operator,Property,47,7,High Net Worth,13,0,0,6,4254.240000000001,48.0,100.0,3
62,Sorcha,Roggers,1,38,1979-07-06,41 Schurz Center,2749,Australia,NSW,,IT,38,8,Mass Customer,22,0,1,6,4920.880000000001,6.0,100.0,3
63,Ebony,Zini,1,52,1965-07-03,68150 Boyd Road,2745,Australia,NSW,Senior Quality Engineer,Retail,58,9,Mass Customer,16,0,1,3,2190.05,69.0,100.0,1
64,Gerek,Yve,0,39,1978-03-25,11474 Westend Hill,3752,Australia,VIC,Legal Assistant,IT,73,8,High Net Worth,4,0,0,5,546.6799999999998,4.0,100.0,3
65,Yale,Tanser,0,41,1976-04-01,308 Jana Crossing,2153,Australia,NSW,Information Systems Manager,Financial Services,21,10,Affluent Customer,15,0,1,5,3799.97,137.0,100.0,1
66,Anselm,Gawne,0,15,2002-03-11,163 Straubel Trail,2217,Australia,NSW,Account Executive,Argiculture,46,10,High Net Worth,1,0,0,5,3333.86,44.0,80.0,3
67,Vernon,,0,57,1960-06-14,68294 Clarendon Crossing,2230,Australia,NSW,Web Developer II,Retail,67,10,Mass Customer,18,0,0,5,1203.289999999999,117.0,100.0,1
68,Dahlia,Eddoes,1,43,1974-04-21,486 Mariners Cove Plaza,3046,Australia,VIC,Information Systems Manager,,37,7,Affluent Customer,9,0,0,3,3842.56,85.0,100.0,1
69,Heidi,Milner,1,48,1969-06-22,0322 Dryden Court,3183,Australia,VIC,Web Developer II,,16,7,Mass Customer,6,0,0,6,5294.75,21.0,100.0,3
70,Foster,Vannoort,0,24,1993-02-27,9 Bonner Road,2070,Australia,NSW,Paralegal,Financial Services,78,12,Affluent Customer,8,0,0,5,2736.9,5.0,100.0,3
71,Hoyt,Glavias,0,32,1985-01-27,07041 Briar Crest Lane,2213,Australia,NSW,Research Associate,Argiculture,30,10,Affluent Customer,12,0,1,1,155.6500000000001,132.0,100.0,1
72,Sammy,Cheese,0,45,1972-02-13,29466 Hanson Pass,4208,Australia,QLD,Administrative Officer,Manufacturing,93,6,Affluent Customer,16,0,1,4,2559.78,23.0,100.0,3
73,Minette,Worters,1,57,1960-05-27,0212 Forest Run Trail,2774,Australia,NSW,Teacher,,16,8,Affluent Customer,5,0,1,6,2316.51,169.0,100.0,1
74,Pansy,Kiddie,1,48,1969-06-19,33055 Menomonie Parkway,4133,Australia,QLD,,,94,8,Mass Customer,6,0,1,3,966.52,29.0,100.0,3
75,Dollie,Sealy,1,39,1978-07-15,4763 Merchant Avenue,2756,Australia,NSW,VP Product Management,Property,28,8,Mass Customer,19,0,0,8,4979.9400000000005,61.0,100.0,3
76,Rea,Hasser,1,39,1978-01-23,439 Ridgeway Court,4213,Australia,QLD,Statistician II,Retail,20,9,High Net Worth,18,0,1,8,2868.16,2.0,100.0,3
77,Shermie,Andrin,0,28,1989-09-12,2 Clyde Gallagher Lane,4170,Australia,QLD,Automation Specialist IV,Financial Services,79,5,Mass Customer,7,0,0,3,1657.5800000000002,102.0,100.0,1
78,Arch,Van der Kruis,0,32,1985-03-12,97455 Loeprich Lane,2153,Australia,NSW,Business Systems Development Analyst,Argiculture,37,9,Affluent Customer,8,0,0,2,82.25999999999999,212.0,100.0,1
79,Tybi,Silliman,1,49,1968-10-02,9527 Ridgeway Street,2073,Australia,NSW,Account Executive,Manufacturing,76,10,Mass Customer,18,0,0,5,1860.2900000000004,48.0,100.0,3
80,Pablo,Small,0,39,1978-04-24,7 Jackson Point,3561,Australia,VIC,Data Coordiator,Entertainment,11,1,Mass Customer,13,0,0,10,5988.86,29.0,100.0,3
81,Bee,Blazewicz,1,31,1986-09-04,74 Anniversary Junction,2330,Australia,NSW,,Health,58,6,High Net Worth,13,0,0,4,3249.0199999999995,5.0,100.0,3
82,Gleda,Cokely,1,52,1965-06-28,2083 Spaight Court,3977,Australia,VIC,Software Test Engineer III,Property,93,8,High Net Worth,19,0,0,5,2924.37,79.0,100.0,3
83,Kerr,Simmell,0,50,1967-02-26,2796 Caliangt Circle,2204,Australia,NSW,Internal Auditor,IT,97,12,Mass Customer,18,0,1,6,1798.1999999999998,81.0,100.0,1
84,Rich,Mathiasen,0,59,1958-02-07,96061 Ludington Place,2086,Australia,NSW,Accountant III,,78,11,Mass Customer,14,0,1,7,2295.2200000000003,29.0,100.0,3
85,Kane,Tixall,0,59,1958-05-21,5037 Merchant Crossing,2226,Australia,NSW,Analyst Programmer,,1,11,Mass Customer,8,0,0,6,563.3699999999999,38.0,100.0,3
86,Job,Sleney,0,28,1989-03-04,289 Haas Street,2075,Australia,NSW,Occupational Therapist,Health,75,11,High Net Worth,7,0,1,9,2360.09,1.0,100.0,3
87,Fields,Langdon,0,43,1974-04-23,4423 Bartelt Parkway,2038,Australia,NSW,Editor,Financial Services,78,12,Mass Customer,8,0,0,9,3740.7599999999993,19.0,100.0,3
88,Malynda,Tumber,1,51,1966-02-03,5 Grim Center,2069,Australia,NSW,Help Desk Operator,Property,41,12,High Net Worth,7,0,1,6,2534.33,75.0,100.0,3
89,Benedicto,Hoxey,0,50,1967-01-22,73042 Roth Crossing,2100,Australia,NSW,Speech Pathologist,Health,74,11,Mass Customer,14,0,1,9,5779.650000000001,5.0,100.0,3
90,Cary,Garron,0,33,1984-11-12,171 Fordem Junction,2233,Australia,NSW,Quality Control Specialist,Manufacturing,76,10,Mass Customer,11,0,0,7,2990.73,31.0,100.0,3
91,Dylan,Meaker,0,62,1955-02-24,2640 Manley Point,2166,Australia,NSW,Senior Financial Analyst,Financial Services,69,9,Affluent Customer,17,0,1,8,5242.410000000001,10.0,100.0,3
92,Jodee,Judkins,1,37,1980-09-11,3 Hintze Pass,3133,Australia,VIC,Recruiting Manager,Health,98,10,Mass Customer,12,0,0,3,2967.4400000000005,35.0,100.0,3
93,Gordon,Gowar,0,41,1976-07-16,2 Mcbride Road,3070,Australia,VIC,Project Manager,Retail,63,10,Mass Customer,10,0,1,3,2976.409999999999,80.0,100.0,1
94,Wallache,Simchenko,0,43,1974-08-07,67234 Transport Hill,2777,Australia,NSW,Civil Engineer,Manufacturing,33,7,Mass Customer,21,0,0,7,4902.210000000001,34.0,100.0,3
95,Nomi,Mallinder,1,57,1960-12-25,72 Dorton Crossing,3133,Australia,VIC,Software Engineer III,Manufacturing,67,10,Affluent Customer,8,0,1,4,3050.8099999999995,39.0,100.0,3
96,Heath,Olford,0,49,1968-08-31,6 Heffernan Center,2125,Australia,NSW,Nuclear Power Engineer,Manufacturing,33,11,Mass Customer,15,0,0,3,1135.25,71.0,100.0,1
97,Arne,Corain,0,38,1979-07-27,6088 Roxbury Hill,2766,Australia,NSW,Community Outreach Specialist,Financial Services,16,8,Mass Customer,10,0,1,8,4911.210000000001,103.0,100.0,3
98,Allianora,Babalola,1,61,1956-03-17,105 Shelley Alley,2209,Australia,NSW,Safety Technician IV,Health,19,10,Mass Customer,7,0,0,4,1620.7500000000005,142.0,100.0,1
99,Reggie,Mulliner,0,19,1998-06-13,079 Merry Park,2160,Australia,NSW,VP Accounting,Financial Services,97,9,Mass Customer,3,0,0,9,4557.65,3.0,100.0,3
100,Tripp,Steed,0,49,1968-05-11,8722 Summit Alley,2065,Australia,NSW,General Manager,Financial Services,80,12,Mass Customer,4,0,1,2,877.3999999999996,12.0,100.0,3
101,Goran,Kwietek,0,42,1975-12-29,9554 Artisan Pass,2150,Australia,NSW,Nurse Practicioner,Manufacturing,83,10,High Net Worth,11,0,0,4,2589.89,9.0,100.0,3
102,Langsdon,Tranfield,0,61,1956-11-27,55850 Butterfield Road,2168,Australia,NSW,Quality Control Specialist,Manufacturing,51,9,Affluent Customer,16,0,0,7,2587.01,43.0,100.0,3
103,Ethyl,Runham,1,20,1997-04-21,68 Little Fleur Crossing,2046,Australia,NSW,Product Engineer,Financial Services,49,12,Affluent Customer,4,0,1,4,895.4500000000003,117.0,100.0,1
104,Odille,Panketh,1,39,1978-06-06,85688 New Castle Crossing,4171,Australia,QLD,Automation Specialist II,Health,40,10,Mass Customer,9,0,1,7,3112.8,65.0,100.0,3
105,Maribeth,Pristnor,1,16,2001-09-17,8611 Loomis Lane,2155,Australia,NSW,Recruiting Manager,Manufacturing,25,10,Mass Customer,1,0,0,4,3475.0400000000004,90.0,100.0,1
106,Glyn,,0,51,1966-07-03,7909 Pierstorff Crossing,2517,Australia,NSW,Software Test Engineer III,Health,54,9,High Net Worth,18,0,1,3,2513.69,2.0,100.0,3
107,Pris,Stallebrass,1,27,1990-07-01,01 Muir Parkway,2096,Australia,NSW,Nurse Practicioner,Financial Services,97,12,Mass Customer,9,0,1,4,2343.9700000000003,82.0,100.0,1
108,Kayle,Mingaud,1,23,1994-03-14,0410 Division Junction,2750,Australia,NSW,,,4,8,High Net Worth,3,0,0,3,2557.42,11.0,100.0,3
109,Cody,Blabey,0,39,1978-12-11,41 Service Lane,2217,Australia,NSW,Marketing Assistant,,16,11,Affluent Customer,4,0,1,10,4430.66,9.0,100.0,3
110,Sascha,St. Quintin,0,17,2000-07-31,5 Moose Road,3977,Australia,VIC,,Financial Services,23,8,Affluent Customer,1,0,0,7,2621.55,15.0,100.0,3
111,Cele,Evason,1,24,1993-08-29,7342 Fieldstone Junction,2093,Australia,NSW,Analyst Programmer,,65,12,Mass Customer,2,0,0,4,3014.53,148.0,100.0,1
112,Shena,Parren,1,42,1975-08-12,0 David Terrace,3204,Australia,VIC,Marketing Manager,Retail,88,11,High Net Worth,12,0,0,6,5742.19,48.0,100.0,3
113,Gage,Nickless,0,61,1956-05-06,15239 Northwestern Point,4300,Australia,QLD,Staff Scientist,,67,4,Mass Customer,20,0,0,6,2200.4800000000005,176.0,83.33333333333333,1
114,Sunny,Swindells,1,32,1985-10-23,60 Oneill Street,2170,Australia,NSW,Teacher,Entertainment,10,9,Affluent Customer,8,0,0,4,2195.26,71.0,100.0,1
115,Alberik,Mereweather,0,36,1981-12-21,8194 Sachtjen Drive,3844,Australia,VIC,Account Executive,Health,77,1,Mass Customer,18,0,0,8,3135.87,15.0,100.0,3
116,Scottie,Swiffen,0,18,1999-02-05,0349 Farmco Terrace,2168,Australia,NSW,Assistant Professor,Manufacturing,49,8,Affluent Customer,2,0,1,8,2447.5400000000004,13.0,100.0,3
117,Nance,Suttling,1,35,1982-02-23,185 Pennsylvania Way,4226,Australia,QLD,Marketing Manager,Manufacturing,75,6,Mass Customer,15,0,0,10,6917.34,6.0,100.0,3
118,Prentice,Pearmain,0,58,1959-11-12,432 Longview Circle,3192,Australia,VIC,Budget/Accounting Analyst IV,,43,10,High Net Worth,19,0,0,5,3550.1000000000004,70.0,100.0,3
119,Willey,Chastanet,0,36,1981-12-04,5814 Bunker Hill Street,3070,Australia,VIC,Associate Professor,,9,7,High Net Worth,9,0,1,4,4217.24,31.0,100.0,3
120,Sloan,Wagg,0,39,1978-09-02,7 Carberry Crossing,2485,Australia,NSW,Legal Assistant,Financial Services,80,2,High Net Worth,4,0,1,2,869.3200000000002,130.0,100.0,1
121,Myles,Pauncefort,0,60,1957-10-02,53 Talisman Trail,2097,Australia,NSW,Graphic Designer,Manufacturing,82,9,Mass Customer,15,0,0,4,2892.09,112.0,100.0,1
122,Colver,Itter,0,38,1979-04-19,5 Prairie Rose Road,4817,Australia,QLD,Quality Control Specialist,Financial Services,87,2,Mass Customer,12,0,1,5,2695.22,9.0,100.0,3
123,Almeta,Kalinsky,1,29,1988-12-03,84 Florence Parkway,2516,Australia,NSW,Analyst Programmer,Financial Services,85,8,High Net Worth,15,0,0,4,3245.75,192.0,100.0,1
124,Kath,Cunney,1,22,1995-05-03,739 Elmside Way,3074,Australia,VIC,Administrative Assistant II,Health,27,8,High Net Worth,5,0,1,7,4054.25,3.0,100.0,3
125,Darrelle,Antoniewski,1,57,1960-03-17,684 Northport Circle,2213,Australia,NSW,Computer Systems Analyst II,Property,94,10,Mass Customer,16,0,0,10,3303.88,84.0,90.0,3
126,Norman,Cliff,0,25,1992-10-15,8 Hagan Hill,4508,Australia,QLD,Administrative Officer,Health,53,4,Mass Customer,3,0,1,3,1096.46,12.0,100.0,3
127,Merrili,Whitear,1,43,1974-12-03,0 Pearson Crossing,4405,Australia,QLD,Compensation Analyst,Financial Services,81,1,Mass Customer,19,0,0,10,3993.710000000001,24.0,100.0,3
128,Isidro,Cypler,0,40,1977-07-17,10918 Merry Way,2452,Australia,NSW,Systems Administrator III,Property,73,5,Mass Customer,12,0,1,4,2193.06,138.0,100.0,1
129,Weidar,Silkstone,0,32,1985-07-20,97 Coolidge Trail,2142,Australia,NSW,Financial Advisor,Financial Services,64,9,High Net Worth,19,0,1,4,2753.75,179.0,100.0,1
130,Raddy,Delete,0,20,1997-07-18,58 Helena Hill,2205,Australia,NSW,Chemical Engineer,Manufacturing,32,7,Mass Customer,1,0,0,2,1779.58,77.0,100.0,1
131,Jana,Renyard,1,53,1964-10-16,352 Forster Place,4132,Australia,QLD,Administrative Officer,Retail,57,3,High Net Worth,8,0,0,6,5494.910000000001,206.0,100.0,1
132,Celesta,Willavoys,1,54,1963-07-07,12306 Lawn Street,2145,Australia,NSW,Web Designer I,Manufacturing,5,8,Mass Customer,9,0,1,6,2780.7200000000003,8.0,100.0,3
133,Eldridge,Fiddeman,0,40,1977-06-13,19392 7th Trail,4744,Australia,QLD,VP Accounting,Financial Services,12,1,Mass Customer,16,0,1,5,803.8900000000003,27.0,100.0,3
134,Merna,McCulloch,1,20,1997-08-01,1605 Northfield Junction,2158,Australia,NSW,Legal Assistant,Telecommunications,34,11,Affluent Customer,5,0,1,6,2946.42,15.0,100.0,3
135,Rosalia,Sigart,1,42,1975-01-18,9674 Graceland Junction,3201,Australia,VIC,Internal Auditor,IT,18,6,Mass Customer,3,0,0,7,3254.0700000000006,116.0,85.71428571428571,1
136,Mel,Bennet,0,44,1973-05-26,638 Thackeray Junction,4178,Australia,QLD,Senior Developer,Manufacturing,46,3,High Net Worth,7,0,1,8,3543.2000000000007,21.0,100.0,3
137,Vaughn,Artin,0,30,1987-11-21,869 Forster Circle,2112,Australia,NSW,Office Assistant II,Property,27,10,High Net Worth,10,0,0,5,1496.4499999999998,28.0,100.0,3
138,Onofredo,Franc,0,32,1985-04-28,0 Golden Leaf Crossing,2033,Australia,NSW,Recruiter,Financial Services,5,9,Affluent Customer,13,0,1,7,3377.1200000000003,65.0,100.0,3
139,Gar,,0,53,1964-07-28,215 Lindbergh Trail,4401,Australia,QLD,Operator,Telecommunications,1,1,Affluent Customer,4,0,0,9,5161.44,27.0,100.0,3
140,Morrie,Flaxon,0,23,1994-05-20,829 Washington Crossing,3186,Australia,VIC,Programmer Analyst III,Manufacturing,9,9,Mass Customer,2,0,0,6,2699.9000000000005,4.0,100.0,3
141,Townsend,Trobe,0,63,1954-06-25,585 Loomis Court,2097,Australia,NSW,Teacher,Financial Services,67,11,High Net Worth,10,0,1,3,2138.3500000000004,160.0,100.0,1
142,Bentley,Fortesquieu,0,50,1967-08-07,68063 Blue Bill Park Center,3058,Australia,VIC,Quality Engineer,Health,57,9,Affluent Customer,17,0,0,11,3917.34,5.0,100.0,3
143,Kendall,Figg,0,60,1957-09-01,15673 Farmco Point,4017,Australia,QLD,Operator,Argiculture,19,6,Mass Customer,11,0,1,4,2474.77,14.0,100.0,3
144,Jory,Barrabeale,2,40,,22 Oxford Junction,2315,Australia,NSW,Environmental Tech,IT,71,3,Mass Customer,10,0,0,8,4888.019999999999,7.0,100.0,3
145,Filippo,Ferrara,0,20,1997-07-21,7245 Cottonwood Center,2285,Australia,NSW,Account Executive,Financial Services,33,5,Mass Customer,4,0,0,7,3140.3,29.0,100.0,3
146,Ricoriki,Matlock,0,32,1985-04-08,20382 Spohn Alley,2219,Australia,NSW,Quality Control Specialist,Manufacturing,34,11,Mass Customer,8,0,0,2,217.05999999999997,195.0,100.0,1
147,Rea,Pattrick,1,44,1973-12-06,12375 Cambridge Pass,2065,Australia,NSW,Analog Circuit Design manager,Health,32,11,Mass Customer,10,0,1,6,5034.16,35.0,100.0,3
148,Jaquith,Maffey,1,36,1981-05-08,03 Granby Parkway,3216,Australia,VIC,Programmer Analyst III,,69,8,Mass Customer,5,0,1,5,3268.4,44.0,100.0,3
149,Drucy,Kausche,1,22,1995-01-31,939 Coleman Pass,4509,Australia,QLD,Research Nurse,Health,41,7,Mass Customer,1,0,1,4,1680.6600000000003,19.0,100.0,3
150,Bradly,Crosse,0,34,1983-08-23,69914 Bowman Place,2330,Australia,NSW,Cost Accountant,Financial Services,6,7,Affluent Customer,17,0,0,4,2446.51,76.0,100.0,1
151,Donnie,Brimson,0,52,1965-01-31,34457 Springview Street,2759,Australia,NSW,Marketing Manager,Manufacturing,36,9,Mass Customer,13,0,1,7,5665.41,1.0,100.0,3
152,Stephana,Cardew,1,36,1981-03-03,992 Old Shore Trail,2069,Australia,NSW,Compensation Analyst,Financial Services,5,12,Mass Customer,16,0,0,2,1966.88,159.0,100.0,1
153,Lorilyn,Walshe,1,40,1977-07-28,453 Sheridan Street,2747,Australia,NSW,Assistant Media Planner,Entertainment,73,8,Mass Customer,12,0,1,7,5522.51,65.0,100.0,3
