first_name,last_name,gender,age,DOB,address,postcode,country,state,job_title,job_industry_category,past_3_years_bike_related_purchases,property_valuation,wealth_segment,tenure,deceased_indicator,owns_car
Winnifred,Beswetherick,1,41,1976-06-08,61 4th Street,3040,Australia,VIC,Actuary,Financial Services,83,10,Mass Customer,14,0,0
Odilia,Quick,1,79,1938-11-09,1550 Russell Way,2222,Australia,NSW,General Manager,Manufacturing,65,11,Affluent Customer,11,0,1
Karly,Willavize,1,63,1954-08-12,193 North Point,2190,Australia,NSW,Internal Auditor,Manufacturing,2,10,High Net Worth,12,0,0
Teddie,Burchill,0,49,1968-12-21,321 Raven Plaza,2161,Australia,NSW,Programmer I,Manufacturing,11,9,Mass Customer,13,0,1
Gaston,Dallaghan,0,24,1993-09-29,656 Fuller Street,2783,Australia,NSW,Financial Analyst,Financial Services,44,7,Mass Customer,8,0,1
Otis,Ottey,0,19,1998-02-05,1562 Merchant Street,4744,Australia,QLD,Quality Engineer,,26,4,Mass Customer,3,0,0
Tabbatha,Averill,1,40,1977-12-17,663 8th Parkway,2257,Australia,NSW,Quality Control Specialist,,5,8,Affluent Customer,13,0,1
Brena,Schnitter,1,35,1982-10-11,67 Shelley Street,4703,Australia,QLD,Account Executive,Manufacturing,78,5,Mass Customer,4,0,0
Rourke,Gillbard,0,72,1945-08-03,75 Cordelia Trail,4817,Australia,QLD,,Property,11,4,Mass Customer,17,0,0
Dyane,Burwell,1,65,1952-06-27,51 Hooker Court,2640,Australia,NSW,Engineer II,Retail,19,2,Mass Customer,7,0,1
Claudine,Barstowk,1,51,1966-07-20,1859 Forest Circle,4000,Australia,QLD,Nurse,Property,71,11,High Net Worth,5,0,1
Blinnie,Roze,1,57,1960-12-10,44557 Rutledge Court,4171,Australia,QLD,Librarian,Entertainment,84,7,High Net Worth,11,0,0
Rhona,De Freyne,1,57,1960-11-22,11184 East Drive,3056,Australia,VIC,,Health,45,10,High Net Worth,8,0,0
Sharron,Claibourn,1,37,1980-01-26,555 Hermina Avenue,2280,Australia,NSW,,Financial Services,62,8,High Net Worth,17,0,1
Brien,Heaton,0,66,1951-11-28,8 Novick Trail,2470,Australia,NSW,Clinical Specialist,Health,70,2,Mass Customer,12,0,1
Sybilla,MacCart,1,30,1987-01-15,74 Welch Pass,2620,Australia,NSW,Paralegal,Financial Services,88,7,Mass Customer,7,0,1
Mikel,McNess,0,36,1981-09-22,3 Pleasure Drive,4122,Australia,QLD,Nurse,,71,9,Mass Customer,9,0,0
Maisie,Maddox,1,40,1977-05-09,8 Dennis Point,3226,Australia,VIC,Assistant Manager,Financial Services,27,9,Affluent Customer,20,0,0
Arleen,Casbolt,1,42,1975-05-10,41042 Lotheville Crossing,4817,Australia,QLD,Senior Quality Engineer,Financial Services,48,1,Affluent Customer,13,0,1
Farlie,Petford,0,49,1968-03-25,2330 Butternut Trail,2017,Australia,NSW,Recruiting Manager,,76,10,High Net Worth,13,0,0
Mitchell,MacCague,0,38,1979-04-11,240 Acker Avenue,3190,Australia,VIC,,Manufacturing,58,8,Mass Customer,15,0,0
Garik,Whitwell,0,62,1955-06-13,04 Dexter Way,3280,Australia,VIC,,Property,44,2,Mass Customer,13,0,1
Antonin,Britt,0,24,1993-08-28,011 Northland Trail,2160,Australia,NSW,,Manufacturing,64,9,Affluent Customer,8,0,1
Vinny,Incogna,1,64,1953-02-13,8 Grayhawk Circle,2756,Australia,NSW,,Health,73,8,High Net Worth,10,0,0
Colene,Fishleigh,1,32,1985-03-14,44 Darwin Lane,3149,Australia,VIC,Design Engineer,Financial Services,24,10,Mass Customer,3,0,0
Neile,Argent,1,71,1946-10-25,2548 Arrowood Pass,2024,Australia,NSW,,Retail,79,10,Mass Customer,8,0,0
Corinna,Suggey,1,51,1966-09-18,938 Ilene Road,2761,Australia,NSW,Design Engineer,,52,8,Affluent Customer,9,0,0
Brooke,Arling,0,56,1961-12-05,6 Melby Center,3027,Australia,VIC,,,76,5,High Net Worth,6,0,0
Gipsy,Ewestace,1,61,1956-08-30,08708 Moulton Park,2034,Australia,NSW,Business Systems Development Analyst,Retail,29,12,High Net Worth,5,0,1
Sheena,Kybbye,1,61,1956-07-16,306 Clemons Junction,4852,Australia,QLD,Paralegal,Financial Services,14,1,Affluent Customer,19,0,1
Jobina,Gobourn,1,23,1994-12-04,18 Grim Road,4305,Australia,QLD,VP Quality Control,,85,4,High Net Worth,14,0,1
Gale,Disbrow,1,40,1977-05-14,169 Bashford Drive,3741,Australia,VIC,Cost Accountant,Financial Services,59,7,Mass Customer,17,0,1
Thaxter,Kingsbury,0,67,1950-05-03,3 Vermont Lane,2067,Australia,NSW,Product Engineer,Argiculture,12,12,Mass Customer,20,0,0
Heinrick,Shilstone,0,39,1978-02-11,998 Gale Park,3174,Australia,VIC,,Manufacturing,60,8,Affluent Customer,10,0,0
Taylor,Steuhlmeyer,0,18,1999-03-22,64 Mcguire Trail,4017,Australia,QLD,Paralegal,Financial Services,62,8,Affluent Customer,5,0,1
Griswold,Kelsall,0,24,1993-12-19,74127 Blaine Point,3805,Australia,VIC,Social Worker,Health,55,7,High Net Worth,11,0,1
Odessa,Mc Andrew,1,36,1981-12-01,31756 Meadow Valley Lane,2232,Australia,NSW,,Property,97,10,Mass Customer,8,0,0
Lavena,Seekings,1,22,1995-03-25,293 Mayfield Street,3166,Australia,VIC,Payment Adjustment Coordinator,Retail,87,10,Mass Customer,16,0,0
Martelle,Tuppeny,1,36,1981-02-03,261 Grayhawk Way,2226,Australia,NSW,Marketing Assistant,Manufacturing,52,10,Mass Customer,9,0,0
Briant,Ladley,0,38,1979-12-17,2 Schlimgen Terrace,2750,Australia,NSW,Recruiter,Argiculture,75,8,Mass Customer,12,0,0
Marylou,Kirkup,1,45,1972-10-31,76733 Sunbrook Terrace,3196,Australia,VIC,VP Product Management,,51,9,Mass Customer,14,0,0
Whittaker,,0,51,1966-07-29,683 Florence Way,3156,Australia,VIC,Media Manager III,,64,5,Mass Customer,8,0,1
Normy,Goodinge,2,45,,7232 Fulton Parkway,3810,Australia,VIC,Associate Professor,IT,5,5,Mass Customer,4,0,0
Lorrie,Antonelli,0,34,1983-02-11,06936 Bobwhite Circle,2257,Australia,NSW,Cost Accountant,Financial Services,47,7,High Net Worth,17,0,1
Jedediah,Kedie,0,46,1971-12-29,283 Acker Drive,2763,Australia,NSW,Developer I,Argiculture,31,9,Mass Customer,9,0,1
Kaine,Smallcombe,0,75,1942-02-06,9 Mosinee Parkway,2072,Australia,NSW,Senior Financial Analyst,Financial Services,59,10,High Net Worth,11,0,0
Loise,Iltchev,1,50,1967-03-18,45 Becker Place,4504,Australia,QLD,Electrical Engineer,Manufacturing,70,6,High Net Worth,17,0,1
Cristen,Maroney,1,18,1999-11-21,27 Karstens Crossing,4214,Australia,QLD,Accountant IV,IT,22,7,High Net Worth,7,0,1
Dorothy,Barnardo,1,34,1983-02-01,9630 Cottonwood Avenue,2168,Australia,NSW,Human Resources Manager,Retail,58,8,High Net Worth,12,0,0
Rosmunda,Duxbarry,1,21,1996-07-20,989 Graedel Terrace,4208,Australia,QLD,Executive Secretary,Property,69,11,Affluent Customer,5,0,1
Rozamond,Riha,1,33,1984-10-07,76 Bartelt Center,4078,Australia,QLD,Account Representative I,Manufacturing,54,7,Affluent Customer,16,0,1
Gunner,Petti,0,18,1999-06-08,29778 Mendota Drive,4036,Australia,QLD,Executive Secretary,Financial Services,62,5,High Net Worth,3,0,1
Vivienne,Crayden,1,29,1988-09-18,69 Algoma Center,4173,Australia,QLD,Associate Professor,,82,7,High Net Worth,6,0,1
Sherilyn,Canero,1,21,1996-08-03,8288 Lyons Way,2484,Australia,NSW,Dental Hygienist,Health,11,7,High Net Worth,13,0,1
Bessie,Roscow,1,23,1994-08-04,4185 Florence Trail,2121,Australia,NSW,GIS Technical Architect,Financial Services,78,10,Mass Customer,9,0,0
Kevina,Ferandez,1,18,1999-09-21,9608 Heffernan Drive,4068,Australia,QLD,Assistant Professor,Financial Services,73,9,High Net Worth,15,0,0
Yancy,Clementet,0,49,1968-02-16,9 Union Center,2147,Australia,NSW,Mechanical Systems Engineer,,5,9,High Net Worth,15,0,0
Mabelle,Wellbelove,1,59,1958-04-21,800 Emmet Park,2219,Australia,NSW,,Financial Services,76,9,Affluent Customer,19,0,1
Hasheem,Groucock,0,43,1974-09-17,12351 Spenser Pass,2034,Australia,NSW,Budget/Accounting Analyst IV,Manufacturing,98,12,High Net Worth,10,0,1
Tobias,Woodhams,0,56,1961-04-15,4 Valley Edge Plaza,2759,Australia,NSW,Research Nurse,Health,0,9,Mass Customer,17,0,0
Glennis,Flintoff,1,61,1956-10-22,1601 Rutledge Lane,3030,Australia,VIC,Speech Pathologist,Health,36,7,Affluent Customer,13,0,1
Chanda,Mensler,1,45,1972-01-14,0 Mockingbird Plaza,2212,Australia,NSW,Computer Systems Analyst IV,Manufacturing,15,10,Mass Customer,13,0,1
Katheryn,Kinner,1,44,1973-11-28,1665 Kenwood Center,2518,Australia,NSW,Analyst Programmer,Entertainment,15,6,High Net Worth,6,0,0
Sumner,Carrivick,0,22,1995-04-09,5 4th Center,2097,Australia,NSW,Desktop Support Technician,Manufacturing,53,12,Mass Customer,15,0,0
Valerie,Pickover,1,52,1965-09-08,92214 Spenser Road,2756,Australia,NSW,Editor,Financial Services,34,8,Mass Customer,9,0,0
Esther,Rooson,1,36,1981-02-22,5186 Main Trail,2046,Australia,NSW,,Financial Services,14,9,Mass Customer,5,0,0
Gardie,Crellim,0,42,1975-09-12,564 Forest Dale Avenue,3161,Australia,VIC,Biostatistician IV,Manufacturing,58,12,High Net Worth,8,0,0
Sean,O'Loughlin,0,56,1961-03-22,83 Old Gate Point,2576,Australia,NSW,Database Administrator III,Manufacturing,48,10,High Net Worth,16,0,1
Pietra,Buckleigh,1,68,1949-04-29,387 Dixon Alley,2024,Australia,NSW,Engineer III,,9,10,High Net Worth,13,0,0
Marysa,Rouchy,1,18,1999-02-15,411 Twin Pines Way,2026,Australia,NSW,Assistant Media Planner,Entertainment,8,9,Affluent Customer,5,0,0
Kahaleel,,0,75,1942-11-01,12 Arapahoe Park,2035,Australia,NSW,GIS Technical Architect,,5,12,High Net Worth,13,0,0
Ossie,Midden,0,67,1950-02-10,4915 Debra Center,2479,Australia,NSW,Physical Therapy Assistant,Manufacturing,49,9,Mass Customer,14,0,1
Sid,Carlone,0,46,1971-08-18,76 Sunnyside Avenue,4670,Australia,QLD,Structural Engineer,Health,24,2,Affluent Customer,16,0,0
Ludovico,Juster,0,25,1992-04-19,1 Talisman Avenue,2125,Australia,NSW,Environmental Specialist,,93,10,Affluent Customer,15,0,0
Patricia,Everix,1,39,1978-02-19,91164 Washington Terrace,2263,Australia,NSW,Director of Sales,Health,34,7,Mass Customer,19,0,0
Andromache,Bonafacino,1,40,1977-09-01,74 Carpenter Street,2015,Australia,NSW,,Retail,84,9,Mass Customer,11,0,0
Levy,Abramamov,0,65,1952-09-21,6776 Anderson Center,4037,Australia,QLD,Teacher,,94,8,Affluent Customer,14,0,1
Nobe,McAughtry,0,39,1978-12-14,1 Orin Hill,4510,Australia,QLD,,,25,5,Mass Customer,12,0,0
Jehu,Prestedge,0,18,1999-10-20,88 Annamark Avenue,2138,Australia,NSW,,Manufacturing,91,12,High Net Worth,8,0,1
Symon,Mawne,0,74,1943-02-08,37439 High Crossing Circle,3350,Australia,VIC,Human Resources Assistant IV,Property,18,4,Mass Customer,15,0,1
Karlik,Penchen,0,23,1994-10-31,5 Nevada Point,4017,Australia,QLD,Nurse Practicioner,Retail,60,6,Mass Customer,11,0,0
Bengt,Bilson,0,45,1972-11-02,67 Grayhawk Circle,2232,Australia,NSW,Structural Engineer,Manufacturing,26,10,High Net Worth,11,0,0
Evangelin,Boc,1,17,2000-05-09,0 Meadow Ridge Street,3173,Australia,VIC,Structural Analysis Engineer,Manufacturing,30,8,High Net Worth,14,0,1
Hanny,Treven,1,26,1991-01-22,5 Quincy Street,4118,Australia,QLD,Associate Professor,Retail,84,4,Mass Customer,3,0,0
Gina,Mallon,1,23,1994-02-11,13025 Johnson Plaza,4670,Australia,QLD,Dental Hygienist,Health,56,2,Mass Customer,12,0,0
Reynold,Elman,0,77,1940-01-18,966 Sunnyside Center,2390,Australia,NSW,Marketing Manager,Manufacturing,19,2,Mass Customer,9,0,0
Flossy,Concannon,1,37,1980-10-20,802 Mallory Park,3919,Australia,VIC,Staff Accountant IV,Financial Services,64,2,Affluent Customer,8,0,0
Cristen,Wiltshire,1,56,1961-10-20,93 Judy Drive,3047,Australia,VIC,VP Sales,Financial Services,59,6,High Net Worth,15,0,1
Griffith,Escot,0,71,1946-10-23,94 Manitowish Court,4116,Australia,QLD,Accountant III,IT,50,3,Mass Customer,16,0,1
Jamie,Jiruca,1,54,1963-06-16,5013 Erie Crossing,2230,Australia,NSW,Recruiting Manager,Argiculture,21,9,Mass Customer,18,0,0
Lyon,Brittan,0,45,1972-04-23,540 Sachs Road,3153,Australia,VIC,Sales Representative,Retail,14,8,High Net Worth,19,0,0
Aridatha,Sephton,1,56,1961-10-22,422 Forster Circle,2340,Australia,NSW,Human Resources Assistant II,,95,1,Mass Customer,5,0,0
Michal,Bryan,1,48,1969-11-09,4275 Bluestem Pass,4000,Australia,QLD,,Manufacturing,1,8,Mass Customer,16,0,1
Franciska,Stigell,1,49,1968-11-15,6 Anderson Junction,3802,Australia,VIC,Food Chemist,Health,95,7,Mass Customer,7,0,1
Jordan,Clampe,0,78,1939-12-09,276 Westend Road,4207,Australia,QLD,Staff Scientist,Financial Services,37,5,Mass Customer,11,0,1
David,Napoleon,0,56,1961-11-05,69 Garrison Point,2223,Australia,NSW,Structural Engineer,,72,11,High Net Worth,14,0,0
Meriel,Tapp,1,22,1995-08-13,65 Milwaukee Hill,3280,Australia,VIC,VP Sales,IT,0,2,Mass Customer,5,0,0
Dolley,Starmont,1,40,1977-11-08,4252 Dovetail Pass,4129,Australia,QLD,Geologist IV,Manufacturing,53,6,Affluent Customer,18,0,0
Frederik,Milan,0,20,1997-11-13,56 Riverside Street,2546,Australia,NSW,,Health,45,5,Mass Customer,5,0,0
Rollo,Louedey,0,71,1946-07-09,7 Cascade Park,2089,Australia,NSW,Information Systems Manager,Telecommunications,64,9,Affluent Customer,17,0,1
Jerrine,Cosbey,1,39,1978-01-11,29307 Russell Avenue,3094,Australia,VIC,Junior Executive,Financial Services,21,9,High Net Worth,6,0,1
Roddy,Rubinshtein,0,30,1987-10-08,3 Mcguire Crossing,4510,Australia,QLD,Nurse Practicioner,Retail,37,7,Mass Customer,4,0,1
Viki,Coutts,1,65,1952-12-14,6 Golf View Alley,2287,Australia,NSW,Automation Specialist II,Property,2,4,Mass Customer,7,0,1
Ashby,Bispham,0,36,1981-10-29,83716 Russell Lane,2145,Australia,NSW,Software Consultant,Retail,71,8,Affluent Customer,4,0,0
Alexander,Broadbent,0,20,1997-05-28,265 Stephen Trail,2209,Australia,NSW,Desktop Support Technician,,57,10,Mass Customer,9,0,0
Teddy,Lagadu,1,48,1969-07-20,2 Charing Cross Trail,2759,Australia,NSW,Design Engineer,,86,8,High Net Worth,6,0,0
Peria,Rantoull,1,42,1975-03-13,8350 Moulton Terrace,4500,Australia,QLD,Financial Analyst,Financial Services,3,4,Mass Customer,4,0,0
Ludvig,Andren,0,76,1941-02-22,578 Waywood Circle,4306,Australia,QLD,Media Manager III,,44,5,High Net Worth,15,0,1
Elsworth,Abbitt,0,61,1956-02-08,9722 Northport Way,3500,Australia,VIC,,Health,71,3,Mass Customer,6,0,1
Rebeca,Aggas,1,64,1953-02-27,7026 Katie Lane,3818,Australia,VIC,Social Worker,Health,66,1,Affluent Customer,21,0,0
Ricki,Dobrowski,0,42,1975-03-10,8 Eggendart Pass,2835,Australia,NSW,Civil Engineer,Manufacturing,13,1,Mass Customer,9,0,1
Georgetta,Lovett,1,77,1940-02-02,1 Bluejay Place,4405,Australia,QLD,Editor,Retail,42,1,Mass Customer,12,0,0
Bambi,Cogger,1,27,1990-07-12,28970 Monument Lane,2560,Australia,NSW,Design Engineer,Retail,51,7,Affluent Customer,5,0,1
Aurie,Rhead,1,55,1962-07-28,235 Mendota Court,2650,Australia,NSW,Geological Engineer,Manufacturing,78,2,Affluent Customer,5,0,1
Farris,Skettles,0,52,1965-07-03,49309 Redwing Lane,3240,Australia,VIC,Payment Adjustment Coordinator,,38,7,Mass Customer,13,0,1
Sharline,Abyss,1,57,1960-03-18,367 Bay Point,4011,Australia,QLD,,,11,4,Mass Customer,15,0,1
Nowell,Preddy,0,32,1985-07-23,932 Glendale Avenue,2173,Australia,NSW,,Manufacturing,29,9,Mass Customer,9,0,0
Lacy,Drance,1,39,1978-02-05,492 Waywood Lane,2750,Australia,NSW,Graphic Designer,Manufacturing,27,8,Affluent Customer,14,0,1
Padraig,Snel,0,47,1970-11-08,12683 Mifflin Point,2114,Australia,NSW,Staff Accountant II,,89,7,Mass Customer,19,0,0
Malorie,Votier,1,27,1990-05-29,6160 Weeping Birch Hill,4509,Australia,QLD,Graphic Designer,Manufacturing,90,5,Affluent Customer,4,0,0
Shepperd,Ricards,0,50,1967-09-27,7 Oakridge Lane,2284,Australia,NSW,Social Worker,Health,28,4,Mass Customer,16,0,1
Daryl,Pauncefort,1,38,1979-06-18,0 Dexter Parkway,2380,Australia,NSW,Community Outreach Specialist,Financial Services,12,3,Mass Customer,12,0,1
Norina,Blakeway,1,37,1980-02-11,75813 Lawn Lane,3081,Australia,VIC,Programmer Analyst II,Property,60,8,Mass Customer,3,0,1
My,Chaston,0,51,1966-07-16,74613 Northport Park,3765,Australia,VIC,Desktop Support Technician,Manufacturing,92,9,Affluent Customer,16,0,1
Isak,Bergstram,0,16,2001-03-08,68 Karstens Pass,2176,Australia,NSW,Pharmacist,Health,14,9,Affluent Customer,15,0,1
Grannie,Cracker,0,68,1949-03-06,87254 Hermina Pass,4217,Australia,QLD,VP Marketing,Retail,28,8,Mass Customer,20,0,1
Welby,Lourenco,0,42,1975-12-27,801 Atwood Alley,2138,Australia,NSW,Senior Cost Accountant,Financial Services,6,9,High Net Worth,17,0,1
Glenn,Casbourne,1,36,1981-08-08,2 Morrow Alley,4207,Australia,QLD,Senior Editor,Manufacturing,4,1,Mass Customer,6,0,0
Nadiya,Balasini,1,67,1950-11-05,92934 Mallory Trail,2164,Australia,NSW,Sales Associate,Financial Services,40,9,Mass Customer,15,0,0
Tyne,Coate,1,52,1965-07-15,90820 Thackeray Street,2218,Australia,NSW,Developer II,Manufacturing,82,8,Mass Customer,17,0,0
Christie,Anders,0,48,1969-10-02,48 Ludington Plaza,2153,Australia,NSW,VP Marketing,Retail,38,10,Mass Customer,16,0,0
Agnella,Capener,1,48,1969-05-21,49185 Derek Circle,3977,Australia,VIC,Teacher,Health,58,6,High Net Worth,19,0,0
Bernardine,Delmonti,1,46,1971-03-31,0721 Meadow Ridge Pass,2540,Australia,NSW,,Property,39,8,Mass Customer,17,0,0
Daisy,Spowart,1,50,1967-12-18,115 Westridge Road,4570,Australia,QLD,Staff Accountant I,Health,60,3,Affluent Customer,4,0,1
Denys,Minshall,1,56,1961-12-26,7 Myrtle Lane,2324,Australia,NSW,Environmental Tech,Manufacturing,30,8,Affluent Customer,14,0,1
Archibald,Blessed,0,48,1969-02-10,7795 Memorial Drive,2016,Australia,NSW,VP Sales,Financial Services,61,11,Mass Customer,18,0,1
Feodor,Englishby,0,56,1961-08-14,24695 Boyd Road,3201,Australia,VIC,Account Coordinator,Health,54,5,Mass Customer,11,0,0
Skippie,Yearsley,0,61,1956-09-04,95306 John Wall Avenue,4350,Australia,QLD,Compensation Analyst,Financial Services,6,5,Mass Customer,9,0,0
Bill,,1,54,1963-04-24,6704 Pine View Lane,2170,Australia,NSW,Human Resources Assistant II,Property,74,9,Mass Customer,19,0,1
Tessa,Friese,1,41,1976-10-24,98158 Alpine Point,4212,Australia,QLD,Health Coach II,Financial Services,89,9,Mass Customer,21,0,0
Roseanne,Caruth,1,60,1957-05-25,33652 Lyons Alley,2763,Australia,NSW,Programmer Analyst III,Health,16,9,Mass Customer,7,0,0
Tedra,Goodbanne,1,39,1978-01-15,8 Debs Road,3934,Australia,VIC,Senior Quality Engineer,,4,9,Mass Customer,6,0,1
Roberto,Harme,0,66,1951-06-11,101 Starling Pass,2564,Australia,NSW,Environmental Tech,,27,9,High Net Worth,10,0,0
Nichole,Leisman,0,31,1986-08-07,35151 Bunker Hill Crossing,2068,Australia,NSW,Geologist III,Property,37,12,Affluent Customer,4,0,0
Amil,Ennor,1,22,1995-08-04,2093 Amoth Pass,3109,Australia,VIC,Health Coach II,Health,23,11,Mass Customer,10,0,1
Shawna,Hinrichsen,1,48,1969-08-27,57343 Eagan Avenue,2326,Australia,NSW,Assistant Professor,Manufacturing,60,2,Affluent Customer,9,0,1
Fonsie,Levane,0,66,1951-07-10,83 Armistice Terrace,4011,Australia,QLD,Account Representative III,,96,3,High Net Worth,19,0,1
Emilie,Brody,1,38,1979-05-22,5388 Burrows Alley,2073,Australia,NSW,Director of Sales,,3,11,Mass Customer,3,0,1
Robert,Corkill,0,41,1976-03-12,5612 Toban Point,2227,Australia,NSW,Clinical Specialist,Health,55,10,Mass Customer,4,0,0
Elvira,Kurten,1,44,1973-03-18,65 Ridge Oak Court,2471,Australia,NSW,Assistant Professor,Financial Services,65,3,High Net Worth,12,0,0
Juliana,Mitchenson,1,28,1989-01-05,74 Russell Terrace,4350,Australia,QLD,Environmental Tech,Manufacturing,55,4,Mass Customer,8,0,1
Regine,Bownes,1,65,1952-07-01,255 Loeprich Lane,3752,Australia,VIC,Senior Developer,Retail,99,9,Affluent Customer,15,0,0
Abner,Fraschetti,0,31,1986-01-23,67 Northport Avenue,3805,Australia,VIC,Staff Scientist,Argiculture,33,7,Affluent Customer,13,0,0
Alvira,Coulman,1,62,1955-06-05,823 Wayridge Trail,2205,Australia,NSW,Account Representative II,,42,9,Affluent Customer,14,0,0
Sawyer,Sponton,0,61,1956-02-22,5 Golf Terrace,2126,Australia,NSW,Help Desk Technician,Property,36,11,Mass Customer,10,0,1
Feodor,Vickers,0,28,1989-11-18,40809 Truax Way,2209,Australia,NSW,VP Quality Control,Financial Services,60,6,Mass Customer,4,0,1
Paten,Cayet,0,22,1995-02-19,1398 Burning Wood Way,3850,Australia,VIC,Assistant Manager,Manufacturing,56,1,Affluent Customer,16,0,1
Loria,Tappington,1,62,1955-09-06,3920 Swallow Junction,3038,Australia,VIC,Research Assistant IV,Property,72,8,Mass Customer,5,0,0
Tanya,Kiefer,1,25,1992-07-05,4 Warner Park,2146,Australia,NSW,Speech Pathologist,Telecommunications,54,9,High Net Worth,7,0,0
Devonne,Alderwick,1,78,1939-01-29,534 Lien Lane,3122,Australia,VIC,Research Associate,,79,7,High Net Worth,9,0,1
Omero,McDonand,0,65,1952-04-01,48 Shoshone Park,2066,Australia,NSW,Software Consultant,Manufacturing,51,9,Mass Customer,16,0,0
Iain,Haversham,0,67,1950-12-26,170 Briar Crest Place,2120,Australia,NSW,Sales Representative,Retail,92,10,Mass Customer,13,0,1
Keriann,Newham,1,42,1975-03-26,0193 Northland Street,4179,Australia,QLD,Assistant Manager,Financial Services,71,9,Mass Customer,5,0,0
Conroy,Rappaport,0,52,1965-01-08,5219 Pearson Drive,2148,Australia,NSW,Assistant Manager,Health,39,9,High Net Worth,9,0,0
Dorian,Rustman,0,43,1974-12-09,6156 Summit Center,4352,Australia,QLD,Junior Executive,Manufacturing,78,7,Mass Customer,18,0,0
Quillan,Guinane,0,71,1946-03-24,803 Badeau Point,2177,Australia,NSW,Community Outreach Specialist,,36,8,High Net Worth,21,0,1
Harlin,Mazin,0,43,1974-03-25,735 Westridge Road,2454,Australia,NSW,Computer Systems Analyst I,Manufacturing,34,7,Mass Customer,13,0,1
Eustacia,Dornan,1,32,1985-09-02,1190 Hanson Street,3806,Australia,VIC,Account Representative IV,Property,68,9,Mass Customer,5,0,0
Maury,Galego,0,25,1992-07-27,370 Division Junction,3032,Australia,VIC,Social Worker,Health,65,10,High Net Worth,3,0,1
Reggie,Kernar,1,46,1971-11-28,90 Northport Hill,2228,Australia,NSW,Senior Editor,Financial Services,26,10,High Net Worth,17,0,0
Brigitte,Whellams,1,44,1973-05-09,77785 Veith Lane,2766,Australia,NSW,Payment Adjustment Coordinator,,67,8,Mass Customer,17,0,1
Kinna,Kollasch,1,31,1986-11-09,232 Knutson Park,4060,Australia,QLD,Safety Technician I,Property,7,10,High Net Worth,9,0,0
Maurizio,Comi,0,21,1996-05-30,25805 Eagan Place,2766,Australia,NSW,VP Product Management,IT,74,9,Affluent Customer,10,0,0
Elbertina,Fendley,1,25,1992-03-27,743 Debra Court,2117,Australia,NSW,Physical Therapy Assistant,Property,32,11,Affluent Customer,8,0,0
Franklin,Wohler,0,79,1938-10-16,6966 Delladonna Street,2250,Australia,NSW,Clinical Specialist,Health,55,8,Mass Customer,7,0,1
Allyson,Petchell,1,47,1970-03-19,98221 Pennsylvania Place,2170,Australia,NSW,Human Resources Manager,Telecommunications,16,8,High Net Worth,10,0,0
